I need an answer.	Necesito una respuesta.
Come on, hurry up.	Vamos, aprisa.
Tom felt betrayed.	Tom se sintió traicionado.
Did I hurt you?	¿Te lastimé?
I will become angry.	Me enfadaré.
I like English.	Me gusta el inglés.
I despise you.	Yo te desprecio.
Take mine.	Coge el mío.
You smell awful.	Hueles horrible.
I read a letter.	Leo una carta.
We'll use other material.	Emplearemos otro material.
Can't you find it?	¿No puedes encontrarlo?
Don't stop.	No se paren.
I know the solution.	Conozco la solución.
Stay positive.	Sigue positivo.
Let's not hide it.	¡No lo escondamos!
It rained a little.	Llovió poco.
Tom's in there.	Tom está allí.
I hate school.	Odio la escuela.
Go now.	Vayan ya.
I have to go.	Debo ir.
They should know it.	Ellos deberían saberlo.
Now let's go.	Ahora vámonos.
That's cool.	Eso es guay.
She idolized him.	Ella lo idolatraba.
He was born rich.	Él nació rico.
I've had enough.	Suficiente.
I'm lazy.	Soy vago.
Are you Japanese?	¿Es usted japonés?
How likely is that?	¿Te parece probable?
Are you flexible?	¿Eres flexible?
I'll love you forever.	Siempre te amaré.
I've seen them.	Los vi.
It annoys me.	Me cansa.
Do you have any gum?	¿Tienes chicle?
Believe in yourself.	Cree en ti mismo.
I promised I'd help.	Prometí que ayudaría.
Accidents happen.	Los accidentes pasan.
There were two cakes.	Había dos pasteles.
Are you all ready?	¿Están todos listos?
You're so corny.	¡Qué cursi eres!
Tom became depressed.	Tom se deprimió.
I'm going, too.	Yo también me voy.
They want more.	Quieren más.
I blacked out.	Quedé inconsciente.
Now try again.	Prueba de nuevo.
The money disappeared.	El dinero desapareció.
Can we talk now?	¿Podemos charlar ahora?
I miss it.	Lo echo de menos.
What's my prize?	¿Cuál es mi premio?
Where should we go?	¿Dónde debemos ir?
They struggled.	Lo pasaron mal.
Do you sell chopsticks?	¿Vendes palillos chinos?
I should wait.	Debería esperar.
Tom won't know.	Tom no sabrá.
I want this camera.	Quiero esta cámara.
Do you drink beer?	¿Beben cerveza?
I finished the work.	Terminé el trabajo.
Thanks so much.	Muchas gracias.
I teach geography.	Enseño geografía.
Who won?	¿Quién ha ganado?
Use this one.	Utilizad este.
The adventure begins.	La aventura comienza.
I want to stay.	Quiero quedarme.
Let me explain why.	Déjame explicarlo.
We're escaping.	Huimos.
I had a dream.	Tuve un sueño.
Call your brother.	Llamad a vuestro hermano.
This isn't normal.	Esto no es normal.
I don't know.	No lo sé.
Please listen.	Por favor escuchá.
Women loved it.	Las mujeres lo adoraban.
Come with us.	Véngase.
Things look good.	Todo parece ir bien.
You recovered quickly.	Te recuperaste rápido.
Tom is timid.	Tom es tímido.
The storm let up.	La tormenta aflojó.
They'll dance.	Ellos bailarán.
He's adorable.	Él es adorable.
I was just curious.	Solo era curiosidad.
They should pay me.	Ellos deberían pagarme.
Spring is coming.	La primavera se acerca.
I'm not tired.	No estoy cansada.
Mary is a mom.	Mary es mamá.
I was arrested.	Fui arrestado.
Tom is outside.	Tom está fuera.
I thank you.	Te lo agradezco.
I'm stuffed.	Ya estoy harto.
I have a girlfriend.	Tengo una novia.
Is that possible?	¿Es posible?
Do you live alone?	¿Vives sola?
I'm sorry to trouble you.	Lamento molestarle.
Dig quickly.	Caven rápido.
He is having lunch.	Él está almorzando.
They recognized Tom.	Reconocieron a Tom.
Can you imagine that?	¿Podés imaginarlo?
They took the subway.	Cogieron el metro.
I'm fine.	Estoy perfectamente.
I have a migraine.	Tengo jaqueca.
He walks fast.	Camina rápido.
She is not there.	No está ahí.
Did Tom seem upset?	¿Tom parecía disgustado?
What's that for?	¿Para qué es eso?
Do you know her?	¿La conoces?
I became a Catholic.	Me hice católico.
Tom is thirsty.	Tom tiene sed.
Am I dying?	¿Me estoy muriendo?
You'll be safe here.	Aquí estaréis seguras.
I won't lose.	No perderé.
I got wet.	Me mojé.
Give me five days.	Denme cinco días.
I'll be going.	Me voy a marchar.
Thanks anyway.	Gracias de todas formas.
Do they have a computer?	¿Tienen ordenador?
Follow my advice.	Sigue mi consejo.
Don't be a fool.	No seas tonto.
What was stolen?	¿Qué fue robado?
Keep running.	Sigue corriendo.
I got homesick.	Tenía nostalgia.
That's really stupid.	Eso es realmente estúpido.
Leave the room.	Salí de la habitación.
What's tormenting you?	¿Qué te atormenta?
The sky brightened.	El cielo se despejó.
What is your name?	¿Cómo te llamas?
Let's try that.	Hagámoslo.
That's wet.	Está mojado.
Tom walks slowly.	Tom camina lentamente.
She wore glasses.	Ella llevaba gafas.
Do you know French?	¿Hablás francés?
Is it windy?	¿Está ventoso?
Look, it's snowing!	¡Mirá! ¡Está nevando!
Show me tangible data.	Mostrame datos tangibles.
It was good fun.	Fue muy divertido.
Do you have honey?	¿Tienes miel?
Only Tom stayed.	Solo se quedó Tom.
Stand back, please.	Por favor, retroceda.
"Thank you." "You're welcome."	"Gracias." "De nada."
I drank tea.	Bebí té.
You seem very scared.	Pareces muy asustado.
I'm still single.	Todavía soy soltero.
I'll be going.	Voy a ir.
Come whenever you like.	Venga cuando quiera.
I want popcorn.	Quiero palomitas de maíz.
Do it quickly.	Hazlo rápidamente.
You sound ticked off.	Suenas realmente enfadado.
I like pie.	Me gustan las tartas.
I quit.	Renuncié.
Nobody is indispensable.	Nadie es indispensable.
Go home now.	Vete a casa, ahora.
I'll allow this.	Voy a permitir esto.
Go to the garage.	Vete al garaje.
Are you dead?	¿Estás muerto?
I didn't know this.	No lo sabía.
I cut myself.	Me corté.
It was very amusing.	Era muy divertido.
You're amazing.	Son increíbles.
Fill out the questionnaire.	Rellena el cuestionario.
I shot a gun.	Disparé una pistola.
Walk this way.	Venga por aquí.
I gave up.	Lo dejé.
I destroyed everything.	Lo destruí todo.
Is Tom dangerous?	¿Tom es peligroso?
Let's take another trip.	Hagamos otra excursión.
Say nothing.	No digas nada.
You've got me.	Me han pescado.
Don't look back.	No mires atrás.
How much is it?	¿Cuánto es?
The crowd dispersed.	La multitud se dispersó.
You did great.	Lo hiciste genial.
Tom promised.	Tom prometió.
Bring your brother.	Traiga a su hermano.
We're enemies.	Somos enemigos.
Don't touch this!	¡No toquéis esto!
Did you hear it?	¿Lo habéis oído?
It was cool.	Estuvo chido.
There's no food left.	No quedó comida.
Tom is thorough.	Tom es meticuloso.
You'll understand later.	Comprenderás luego.
It was too long.	Era demasiado largo.
I ordered Chinese food.	Ordené comida china.
Show me everything.	Enséñamelo todo.
I'm hesitant.	Estoy vacilante.
Tom is stuttering.	Tom está tartamudeando.
Try this.	Prueba esto.
He seldom gets angry.	No suele enfadarse.
Tom needs to pay.	Tom necesita pagar.
I was bleeding.	Sangraba.
We fell asleep hugging.	Dormimos abrazados.
I shouldn't tell you.	No debería decírtelo.
It's all true.	Todo eso es cierto.
Do you study French?	¿Estudiás francés?
I worked in Boston.	Trabajé en Boston.
I have $300.	Tengo trescientos dólares.
This one doesn't fit.	Ésta no cabe.
Is that ours?	¿Eso es nuestro?
How old are you?	¿Qué edad tienes?
Go on ahead.	Ve por delante.
Let me know.	Házmelo saber.
Can you take this?	¿Puedes coger esto?
Please translate this.	Traduce esto, por favor.
I was just curious.	Solo sentía curiosidad.
She's busy.	Ella está ocupada.
Let's go by car.	Vayamos en coche.
Can you forgive me?	¿Podéis perdonarme?
It's begun.	Comenzó.
Break it down.	Tíralo abajo.
We have two children.	Tenemos dos niños.
It may snow.	Es posible que nieve.
It works well.	Funciona bien.
I'll remember you forever.	Siempre te recordaré.
Merry Christmas!	¡Feliz Navidad!
Call me a taxi.	Llámame un taxi.
It was pretty cool.	Era bastante interesante.
That's my sister.	Es mi hermana.
Give it to her.	Dáselo a ella.
Don't talk nonsense!	No hables tonterías.
You're my hero.	Sos mi héroe.
He helps us.	Él nos ayuda.
You're very beautiful.	Eres muy bonita.
Let's go this way.	Vayamos por aquí.
Are you coming down?	¿Vas a bajar?
Cut it out, Tom.	Déjalo ya, Tom.
I can jump.	Puedo saltar.
I'm going tomorrow.	Iré mañana.
I love life.	Amo la vida.
We're better.	Estamos mejor.
Give me the book.	Dame ese libro.
Tom has hiccups.	Tom tiene hipo.
I usually walk.	Normalmente voy andando.
I heard something.	Escuché algo.
Scour the pan.	Friega la sartén.
Take care of yourself.	Cuídate.
We've got to go.	Deberíamos irnos.
We dance together.	Bailamos juntos.
Sorry to be late.	Disculpe la tardanza.
It's going to be hard.	Será difícil.
I washed the windows.	Lavé las ventanas.
Let's begin.	¡Empecemos!
She cannot stop him.	No puede pararle.
There was a fight.	Hubo una pelea.
Learn these sentences.	Apréndete estas frases.
Just try to relax.	Intenta relajarte.
It was his fault.	Fue culpa suya.
You lost, didn't you?	Has perdido, ¿verdad?
Let's not ruin this.	No arruinemos esto.
I continued singing.	Yo seguí cantando.
You need a boyfriend.	Necesitas un novio.
Give them my number.	Dales mi número.
That's beautiful.	Eso es hermoso.
Tom is unstoppable.	Tomás es imparable.
You're hopeless.	No tienes esperanza.
This is exhilarating.	Esto es emocionante.
Hold it.	Sostenedla.
Tom agreed reluctantly.	Tom aceptó a regañadientes.
I wanted to scream.	Yo quería gritar.
You're nuts!	¡Estás loco!
I hate sushi.	Odio el sushi.
It was my turn.	Era mi hora.
I'll go with you.	Te acompaño.
He decided to come.	Él decidió venir.
He can read.	Él sabe leer.
He is a thief.	Es un ladrón.
Where are you?	¿Dónde estás?
She's in a depression.	Ella tiene depresión.
I love dogs.	Me encantan los perros.
You're afraid of him.	Le tienes miedo.
He will be punished.	Él será castigado.
I'm housesitting.	Cuido la casa.
I'm at home.	Estoy en casa.
He cheated me.	Él me engañó.
Follow Tom.	Seguilo a Tomás.
I've corrected the mistake.	Corregí el error.
Tom is strong.	Tom es fuerte.
You're bad.	Eres mala.
Tom is mischievous.	Tom es malicioso.
She is always scared.	Siempre está asustado.
Look again.	Mire de nuevo.
Help Tom out.	Ayúdale a Tom.
Who has come?	¿Quién ha venido?
You seem pretty busy.	Pareces muy ocupado.
We lost the game.	Perdimos la partida.
I'm cracking up.	Me carcajeo.
We never talk.	Nunca hablamos.
Come forward.	Acércate.
Please don't cry.	No llores por favor.
It was a nightmare.	Era una pesadilla.
Sign here.	Firme aquí.
The twins smiled.	Las gemelas sonrieron.
Tom was lost.	Tom estaba perdido.
You're finished already.	Ya habéis terminado.
Where do you work?	¿Dónde trabaja?
I'll do my best.	Daré lo mejor.
He made it.	Él lo hizo.
Where does she work?	¿Dónde trabaja?
Business is slow.	El negocio es lento.
Back away from Tom.	Apártate de Tom.
Tom responded instantly.	Tomás respondió inmediatamente.
Beer's good.	La cerveza es buena.
What have I done?	¿Qué he hecho?
They were wrong.	Ellos estaban equivocados.
You're the best.	Eres el mejor.
Don't go in.	No entres.
I learned something today.	Hoy aprendí algo.
That's over.	Ya ha pasado.
Who helps her?	¿Quién la ayuda?
I saw them kissing.	Los vi besándose.
Who are they?	¿Quiénes son?
I have to cancel.	Tengo que anular.
We're exhausted.	Estamos fundidos.
I watch television.	Estoy viendo la televisión.
Fill out the form.	Complete el formulario.
Where is everybody?	¿Dónde están todos?
There's something in here.	Hay algo aquí.
Don't push it.	No lo empujes.
Translate this text.	Traduzca este texto.
I wish I could.	Desearía poder.
Leave us alone.	Déjanos solos.
I like Australia.	Me gusta Australia.
This one's empty.	Este está vacío.
Get here early.	Lleguen temprano.
Tom knew everything.	Tom lo sabía todo.
We just need water.	Solo necesitamos agua.
Have you seen them?	¿Los ha visto?
You look upset.	Pareces molesto.
Seeing is believing.	Ver para creer.
Tom bugs everyone.	Tom molesta a todos.
That is intriguing.	Eso es intrigante.
That's not true.	Eso no es cierto.
I dreamed about you.	He soñado contigo.
That isn't helpful.	Eso no ayuda.
Write that down.	Escríbetelo.
Tom stopped.	Tom se paró.
I kid you not.	No es broma.
It's not broken.	No se quebró.
He suddenly stopped.	De repente se paró.
Listen and learn.	Escuchá y aprendé.
Is Tom injured?	¿Tom está herido?
Don't sass me.	No seas irrespetuoso conmigo.
She threatened him.	Ella le amenazó.
He's my husband.	Él es mi marido.
That doesn't matter.	Eso no importa.
Nobody recognizes me.	Nadie me reconoce.
Put your hands up!	¡Arriba las manos!
Sit still.	Siéntate y no te muevas.
Don't you feel cold?	¿No sientes frío?
It was worth it.	Valió la pena.
Get yourselves cleaned up.	Vayan a asearse.
We'd be safe there.	Allí estaríamos seguros.
Seize him!	¡Prendedlo!
I remember Tom.	Me acuerdo de Tom.
I can't excuse her.	No puedo perdonarle.
It was an emergency.	Era una emergencia.
Thanks for clarifying that.	Gracias por aclarármelo.
We ate.	Comimos.
Hold on a minute.	Espera un minuto.
I'm a boy.	Soy un niño.
I love our conversations.	Adoro nuestras conversaciones.
I hate football.	Odio el fútbol.
Calm down!	¡Cálmate!
Can it wait?	¿Puede esperar?
There's another hitch.	Hay otra pega.
That would be outstanding.	Eso sería excelente.
Tom said yes.	Tom dijo que sí.
Let's have another beer.	Tomemos otra cerveza.
She was well-dressed.	Ella iba bien vestida.
Let me try it.	Déjame probarlo.
Have faith.	Ten fe.
You've been very quiet.	Estás muy callada.
I've got no choice.	No tengo elección.
Could you read it?	¿Podrías leerlo?
Is that new?	¿Aquél es nuevo?
I like to talk.	Me gusta hablar.
Don't do it!	¡No lo hagas!
Let me think.	¡Déjame pensar!
Open your mouth.	¡Abran la boca!
Give me the number.	Dame el número.
This one's different.	Este es diferente.
I wrote it.	Yo lo escribí.
How do you know?	¿Cómo lo sabes?
Do you bowl?	¿Juegas boliche?
That's what's funny.	Eso es lo divertido.
Let's get started.	Comencemos.
We need more sugar.	Necesitamos más azúcar.
Tom looks young.	Tom se ve joven.
You'll need that.	Lo necesitarás.
Do you want breakfast?	¿Quieren desayuno?
I'm dependable.	Soy confiable.
She gives us clothes.	Nos da ropa.
Tom is sick.	Tom está enfermo.
Keep your promises.	Cumple tus promesas.
Do they know?	¿Lo saben?
Who received it?	¿Quién lo recibió?
Let's try that.	Probemos.
How old is he?	¿Cuántos años tiene?
Tom's trapped.	Tom está atrapado.
It no longer matters.	Ya no importa.
It was really good.	Estuvo muy bueno.
I am eating noodles.	Estoy comiendo fideos.
Dig quickly.	Cave rápido.
I'm an adult.	Soy adulto.
Can you start tomorrow?	¿Puedes empezar mañana?
I fled.	Huí.
It's dark inside.	Dentro está oscuro.
Tell me who won.	Dime quién ganó.
I miss that place.	Extraño ese lugar.
What is going on?	¿Qué pasa?
We punished Tom.	Castigamos a Tom.
Wash up.	Lávate las manos.
They're Canadians, aren't they?	Son canadienses, ¿no?
What causes that?	¿Qué lo causa?
I accept your terms.	Acepto tus condiciones.
Don't shoot!	¡No dispares!
We are cousins.	Somos primos.
Suit yourself.	Como quieras.
I can't get involved.	No puedo involucrarme.
What do you prefer?	¿Qué prefieres?
Where are you going?	¿Para dónde vas?
I pretended to support him.	Fingí apoyarlo.
Don't look down.	No mires abajo.
Don't be shy.	No sea tímido.
I'm an engineer.	Soy ingeniero.
I was in Boston.	Estuve en Boston.
I must go back.	Debo volver.
I loved that.	Eso me gustaba.
Tom isn't obedient.	Tom no es obediente.
Fill it up, please.	Llénalo, por favor.
I'm in a pickle.	Estoy en apuros.
We have to go.	Tenemos que irnos.
No one came.	No vino nadie.
They both work.	Ambos sirven.
I detest hypocrisy.	Detesto la hipocresía.
We've got something.	Tenemos algo.
Do you trust Tom?	¿Confías en Tom?
It looks like rain.	Parece lluvia.
He set a precedent.	Sentó un precedente.
Shut up!	¡Cerrá el pico!
You've done it!	¡Lo has hecho!
I called earlier.	Llamé antes.
We understand.	Lo entendemos.
I refuse to do that.	Rehúso hacerlo.
It looks good.	Tiene buen aspecto.
Hang on to it.	Aférrate a eso.
There's one left.	Queda una.
Help yourself, please.	Sírvase usted, por favor.
Leave my camera alone.	Deja mi cámara.
I tried to do that.	Intenté hacerlo.
They all have come.	Han venido todos.
Mary is a hairdresser.	Mary es peluquera.
Now stand still.	Ahora quédate quieto.
I said stop.	Dije que te detuvieras.
Are you racist?	¿Eres racista?
Try to focus.	Intenta centrarte.
Speak for yourself.	Habla por ti mismo.
I lied to you.	Les mentí.
You're in danger.	Estáis en peligro.
I need some volunteers.	Necesito algunos voluntarios.
