('regresalo', 'put it back')
('tom tiene una forma rara de hablar', 'tom has a strange way of talking')
('estoy encantado de verte aqui', 'i m happy to see you here')
('mi madre no esta en casa', 'my mother is out')
('vale la pena visitar el castillo', 'the castle is worth visiting')
('en este pais no hay libertad de religion', 'there s no freedom of religion in this country')
('ella declino su propuesta', 'she refused his proposal')
('me hizo olvidarme de mis problemas', 'it made me forget about my problems')
('estaba furioso', 'i was furious')
('ayer fue la primera vez que hable con tom en frances', 'yesterday was the first time that i had spoken to tom in french')
('el cuarto de tom era muy pequeno', 'tom s room was very small')
('llegue aqui hacia las cinco', 'i arrived here about five o clock')
('se puede ver el sol asomando entre las nubes', 'you can see the sun peeking through the clouds')
('tom corrio a alcanzar el tren', 'tom ran to catch the train')
('solo estamos cansados', 'we re just tired')
('dicen que comer mas despacio es un modo de comer menos', 'they say that eating more slowly is one way to eat less')
('puedes distinguir lobos de perros ?', 'can you tell wolves from dogs ?')
('necesito comprar estampillas', 'i need to buy stamps')
('no tengo la intencion de volar mas', 'i don t intend to fly anymore')
('todos los que le conocian le admiraban', 'everyone who knew him admired him')
('al hotel hilton por favor !', 'to the hilton hotel please')
('tom deberia estar fuera de cirugia dentro de horas', 'tom should be out of surgery in about three hours')
('te has reunido ya con el ?', 'have you already met him ?')
('tengo comezon en la nariz', 'my nose itches')
('tom dejo de reir', 'tom stopped laughing')
('la primera bomba atomica fue arrojada sobre japon', 'the first atomic bomb was dropped on japan')
('mi hermana toca el piano todos los dias', 'my sister plays the piano every day')
('esto es muy doloroso', 'this is very painful')
('podemos caminar hasta alli facilmente', 'we can easily walk there')
('los zorros son animales salvajes', 'foxes are wild animals')
('el cielo esta despejado casi todos los dias', 'the sky is clear almost every day')
('siempre me saque buenas notas en frances', 'i always got good grades in french')
('una gran ola volco su canoa', 'a big wave turned over his canoe')
('por que no le hacemos una visita a tom ?', 'why don t we pay tom a visit ?')
('debo salvarla a toda costa', 'i must save her at all costs')
('nunca olvidare lo que hiciste por mi', 'i ll never forget what you did for me')
('no te molesto verdad ?', 'i m not disturbing you am i ?')
('estoy totalmente de acuerdo', 'i agree completely')
('ese pastel estaba delicioso', 'that cake was delicious')
('puedes parar de llamarme asi ?', 'can you stop calling me that ?')
('si queres llamame esta tarde', 'if you want to call me this afternoon')
('tom hizo eso solo por despecho', 'tom just did that for spite')
('por que me has estado ignorando ?', 'why have you been ignoring me ?')
('sabia que tom era de boston', 'i knew that tom was from boston')
('no es culpa tuya tom', 'tom it s not your fault')
('ella es superficial y materialista', 'she s materialistic and shallow')
('ahora tom no tiene mascota pero solia tener un perro', 'tom doesn t have a pet now but he used to have a dog')
('todos los asientos estan ocupados', 'all the seats are occupied')
('como has podido ser tan irresponsable ?', 'how could you be so irresponsible ?')
('te gustaria venir a comer a nuestra casa ?', 'would you like to come eat at our house ?')
('estais muy hambrientos ?', 'are you very hungry ?')
('permitame excusarme', 'let me say a few words by way of apology')
('estoy totalmente de acuerdo contigo', 'i agree with you percent')
('si vas a ir a los estados unidos deberias refrescar tu ingles', 'if you re going to go to america you should brush up on your english')
('tom leia novelas', 'tom read novels')
('arroja tus armas !', 'drop your weapons !')
('siempre seran bienvenidos a esta casa', 'you ll always be welcome in this house')
('tom temblo', 'tom shuddered')
('tom tuvo un paro cardiaco el ano pasado', 'tom had a heart attack last year')
('no hablaran con tom al respecto ?', 'won t you speak to tom about it ?')
('siento como si te estuviera molestando', 'i feel like i m bothering you')
('deberiais decirle la verdad', 'you should tell him the truth')
('pienso que hemos hecho un trabajo estupendo', 'i think we ve done a great job')
('el no lleva sombrero', 'he doesn t have a hat on')
('estoy tan ocupada que no puedo ayudarlo', 'i am so busy that i can t help you')
('cuanto costaron ?', 'how much did they cost ?')
('ella estaba lista para ayudarlo a limpiar la casa', 'she was ready to help him with cleaning the house')
('cuando paro la lluvia ?', 'when did it stop raining ?')
('de que tamano es aquella torre ?', 'how tall is that tower ?')
('el testigo identifico al ladron en la rueda de reconocimiento', 'the witness identified the thief in the police lineup')
('aqui hay muchos perros verdad ?', 'there are a lot of dogs here aren t there ?')
('antes de poder amar a los otros debes ser capaz de amarte a ti mismo', 'before you can love others you need to be able to love yourself')
('no es la solucion correcta', 'it is not the correct solution')
('hazlo mas facil', 'try something simpler')
('estaba jugando con un encendedor', 'he was playing with a lighter')
('sin tu ayuda no habria podido terminar a tiempo', 'without your help we wouldn t have finished in time')
('comence a escribir un libro', 'i started writing a book')
('tom se comio la manzana que habia dejado mary sobre la mesa del comedor', 'tom ate the apple that mary had left on the dining room table')
('no soy el unico que se siente de esa forma', 'i m not the only one who feels that way')
('tom no ganara', 'tom won t win')
('algunas mujeres no se afeitan las piernas', 'some women don t shave their legs')
('no parece que vaya a terminar de hacer eso antes del lunes por la tarde', 'i m not likely to be finished doing that before monday afternoon')
('la guerra estallo en', 'war broke out in')
('no puedo rendirme ahora', 'i can t give up now')
('puedo hacer o decir todo lo que yo quiera', 'i can do or say whatever i want')
('ella toca la guitarra', 'she plays the guitar')
('es impresionante lo ruidosos que son mis companeros durante las clases de ingles', 'it s amazing how loud my classmates are in english class')
('este rompecabezas tiene piezas', 'this puzzle has pieces')
('teneis hijos ?', 'do you have any children ?')
('tom solo lleva ropa de marca', 'tom only wears brand name clothes')
('por este camino se llega al museo', 'this road will take you to the museum')
('yo no estoy contento', 'i m not satisfied')
('el agarro la cuerda', 'he caught hold of the rope')
('todos la estan pasando bien', 'everyone s having a great time')
('no veo a tomas desde ayer', 'i haven t seen tom since yesterday')
('ojala tuviese mucho dinero', 'i wish i had a lot of money')
('es una nina realmente encantadora', 'she is indeed a lovely girl')
('esa marca de tequila pega fuerte de veras', 'that brand of tequila really packs a wallop')
('cada persona ha pagado mil dolares', 'each individual paid dollars')
('lo que tom hizo fue espantoso', 'what tom did was awful')
('cuando la vida te da limones haz limonada', 'when life gives you lemons make lemonade')
('esto esta mucho mejor', 'this is way better')
('cuando haces ejercicio tu corazon late mas rapido', 'when you exercise your heart beats faster')
('queria mostrartelo', 'i wanted to show it to you')
('el juez lo sentencio a un ano de prision', 'the judge sentenced him to a year in prison')
('estoy preparando te', 'i m making tea')
('te llamo luego', 'i ll phone you later')
('estoy tumbado en la cama con una resaca del copon', 'i m lying in bed with a killer hangover')
('mary es buena madre', 'mary is a good mother')
('esta casado o es soltero ?', 'is he married or single ?')
('te pido que me hagas un favor', 'i m asking you to do me a favor')
('tom seguro se sentira asqueado', 'tom will likely be disgusted')
('es una pena que no visitaramos a tom cuando tuvimos la ocasion', 'it s a pity we didn t visit tom when we had the chance')
('el tiene una hermana y ella va tambien a la escuela', 'he has a sister and she goes to school too')
('no me gusta la comida caliente', 'i don t like hot food')
('el es lo que se llama un campeon de la justicia', 'he is what is called a champion of justice')
('eres irresistible', 'you are irresistible')
('el capitan abandono el barco de repente', 'suddenly the captain left the ship')
('el cambio de idea', 'he changed his mind')
('a tom le gusta observar aves', 'tom likes to observe birds')
('prefiero ir a caminar que ir a ver esa pelicula', 'i d rather go take a walk than go see that movie')
('tom no podia dormir porque tenia un fuerte dolor de cabeza', 'tom couldn t sleep because he had a bad headache')
('me vino una idea', 'an idea came to me')
('mis padres se habian ido antes de que yo llegara', 'my parents had left before i arrived')
('de nino podia nadar bien', 'i was able to swim well when i was a child')
('la escena del crimen era demasiado horrenda para describirla', 'the scene of the murder was too terrible to describe')
('tom esta murmurando', 'tom is muttering')
('tom dijo que penso que yo parecia triste', 'tom said that he thought that i looked sad')
('tom es un hombre valiente', 'tom is a brave man')
('ahora me pertenece', 'it belongs to me now')
('tom estaba mintiendo', 'tom was lying')
('el perro estaba muriendo', 'the dog was dying')
('nunca quiero estar sola otra vez', 'i never want to be alone again')
('tom piso a fondo el freno para no dar al perro', 'tom slammed on the brakes so he wouldn t hit the dog')
('ella no compro el boleto al fin y al cabo', 'she didn t buy the ticket after all')
('el colegio estuvo cerrado por un dia a causa de la nieve', 'the high school was closed for a day because of the snow')
('se enronquecio de tanto gritar', 'he got hoarse from so much shouting')
('tom no sabe lo que esta haciendo verdad ?', 'tom doesn t know what he s doing does he ?')
('pienso renunciar a esta compania', 'i mean to quit this company')
('es mi enemigo', 'you re my enemy')
('no quiero frijoles', 'i don t want any beans')
('su actitud me indigna', 'her attitude disgusts me')
('inverti mucho tiempo en ello', 'i invested a lot of time in it')
('le suplico que me perdone', 'i beg you to forgive me')
('me vuelvo a boston ya me he cansado de chicago', 'i m going back to boston i ve had enough of chicago')
